category,sub_category,sub_category_en,sub_category_sr,title,title_en,title_sr,description,description_en,description_sr,price,image,weight,calories
Основные блюда,Паста,Pasta,Паста,Карбонара,Carbonara,Карбонара,Паста с беконом и сливочным соусом,Pasta with bacon and cream sauce,Паста са сланином и павлаком,890,https://images.unsplash.com/photo-1612874742237-6526221588e3?w=500,350г,650
Основные блюда,Паста,Pasta,Паста,Болоньезе,Bolognese,Болоњезе,Паста с мясным соусом,Pasta with meat sauce,Паста са месним сосом,950,https://images.unsplash.com/photo-1598866594230-a7c12756260f?w=500,400г,720
Основные блюда,Паста,Pasta,Паста,Карбонара с грибами,Carbonara with Mushrooms,Карбонара са печуркама,Паста с беконом грибами и сливочным соусом,Pasta with bacon mushrooms and cream sauce,Паста са сланином печуркама и павлаком,990,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=500,380г,700
Основные блюда,Пицца,Pizza,Пица,Маргарита,Margherita,Маргарита,Классическая пицца с томатами и моцареллой,Classic pizza with tomatoes and mozzarella,Класична пица са парадајзом и моцарелом,750,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=500,450г,850
Основные блюда,Пицца,Pizza,Пица,Пепперони,Pepperoni,Пепперони,Пицца с пепперони и сыром,Pizza with pepperoni and cheese,Пица са пепперони и сиром,890,https://images.unsplash.com/photo-1628840042765-356cda07504e?w=500,450г,920
Основные блюда,Пицца,Pizza,Пица,Четыре сыра,Four Cheese,Четири сира,Пицца с четырьмя видами сыра,Pizza with four types of cheese,Пица са четири врсте сира,950,https://images.unsplash.com/photo-1513104890138-7c749659a591?w=500,450г,980
Основные блюда,Стейки,Steaks,Одрезак,Рибай стейк,Ribeye Steak,Рибај одрезак,Сочный стейк из мраморной говядины,Juicy marbled beef steak,Сочан одрезак од мермерне говедине,1850,https://images.unsplash.com/photo-1600891964092-4316c288032e?w=500,300г,450
Основные блюда,Стейки,Steaks,Одрезак,Филе миньон,Filet Mignon,Филе мињон,Нежный стейк из вырезки,Tender tenderloin steak,Нежан одрезак од филета,2100,https://images.unsplash.com/photo-1546833998-877b37c2e5c6?w=500,250г,380
Супы,Горячие супы,Hot Soups,Топле супе,Борщ,Borscht,Борш,Традиционный украинский суп,Traditional Ukrainian soup,Традиционална украјинска супа,450,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=500,300мл,180
Супы,Горячие супы,Hot Soups,Топле супе,Солянка,Solyanka,Сољанка,Острый суп с мясом и солеными огурцами,Spicy soup with meat and pickles,Љута супа са месом и кисели краставци,490,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=500,350мл,220
Супы,Горячие супы,Hot Soups,Топле супе,Том Ям,Tom Yum,Том Јам,Острый тайский суп с креветками,Spicy Thai soup with shrimp,Љута тајландска супа са шкампима,650,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=500,300мл,150
Супы,Холодные супы,Cold Soups,Хладне супе,Окрошка,Okroshka,Окрошка,Освежающий холодный суп на квасе,Refreshing cold soup on kvass,Освежавајућа хладна супа на квасу,390,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=500,350мл,120
Салаты,Овощные,Vegetable Salads,Поврће,Цезарь,Caesar Salad,Цезар,Салат с курицей и соусом Цезарь,Salad with chicken and Caesar dressing,Салата са пилетином и Цезар сосом,550,https://images.unsplash.com/photo-1546793665-c74683f339c1?w=500,250г,320
Салаты,Овощные,Vegetable Salads,Поврће,Греческий,Greek Salad,Грчка салата,Салат с фетой и оливками,Salad with feta and olives,Салата са фетом и маслинама,490,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=500,280г,210
Салаты,Мясные,Meat Salads,Месо,Салат с ростбифом,Roast Beef Salad,Салата са ростбифом,Салат с нежной говядиной,Salad with tender beef,Салата са нежном говедином,690,https://images.unsplash.com/photo-1604909052743-94e838986d24?w=500,300г,380
Напитки,Горячие,Hot Drinks,Топли напици,Капучино,Cappuccino,Капучино,Классический итальянский кофе,Classic Italian coffee,Класична италијанска кафа,250,https://images.unsplash.com/photo-1572442388796-11668a67e53d?w=500,200мл,120
Напитки,Горячие,Hot Drinks,Топли напици,Латте,Latte,Лате,Кофе с молоком,Coffee with milk,Кафа са млеком,280,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?w=500,250мл,150
Напитки,Холодные,Cold Drinks,Хладни напици,Лимонад,Lemonade,Лимунада,Домашний лимонад,Homemade lemonade,Домаћа лимунада,290,https://images.unsplash.com/photo-1523677011781-c91d1bbe2f9d?w=500,300мл,90
Напитки,Холодные,Cold Drinks,Хладни напици,Смузи ягодный,Berry Smoothie,Јагодасти смути,Смузи из свежих ягод,Fresh berry smoothie,Смути од свежих јагода,350,https://images.unsplash.com/photo-1505252585461-04db1eb84625?w=500,350мл,180
Десерты,Торты,Cakes,Торте,Тирамису,Tiramisu,Тирамису,Классический итальянский десерт,Classic Italian dessert,Класични италијански десерт,450,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?w=500,150г,380
Десерты,Торты,Cakes,Торте,Чизкейк,Cheesecake,Чизкејк,Нежный сырный торт,Tender cheese cake,Нежна торта од сира,490,https://images.unsplash.com/photo-1533134242820-b13e8d4f3a14?w=500,160г,420
Десерты,Мороженое,Ice Cream,Сладолед,Ванильное,Vanilla,Ванила,Классическое ванильное мороженое,Classic vanilla ice cream,Класичан ванила сладолед,190,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=500,100г,200
Десерты,Мороженое,Ice Cream,Сладолед,Шоколадное,Chocolate,Чоколада,Насыщенное шоколадное мороженое,Rich chocolate ice cream,Интензиван чоколадни сладолед,210,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?w=500,100г,220
Закуски,Горячие,Hot Appetizers,Топле предјело,Куриные крылышки,Chicken Wings,Пилећа крилца,Острые куриные крылышки с соусом,Spicy chicken wings with sauce,Љута пилећа крилца са сосом,490,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=500,300г,450
Закуски,Холодные,Cold Appetizers,Хладне предјело,Брускетта,Bruschetta,Брускета,Хрустящие тосты с томатами,Crispy toasts with tomatoes,Хрскави тостови са парадајзом,350,https://images.unsplash.com/photo-1572695157366-5e585ab2b69f?w=500,180г,220
